Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,Fraction,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,Fraction,ml,mAU
0.747214,1.094867,1.502009,0.575941,7.539634,0,,,,,165.518978,1.H.8,0.754695,1.094624
0.755242,1.094624,1.518068,0.576076,7.619922,0,,,,,167.02676,1.H.9,0.762723,1.098232
0.763271,1.098232,1.534126,0.576195,7.700211,0,,,,,168.526302,1.H.10,0.770752,1.106776
0.7713,1.106776,1.550185,0.576314,7.780499,0,,,,,170.025737,1.H.11,0.778781,1.107326
0.779328,1.107326,1.566243,0.576409,7.860787,0,,,,,171.525218,1.H.12,0.786809,1.107809
0.787357,1.107809,1.582301,0.576525,7.941076,0,,,,,173.02473,2.A.1,0.794838,1.108476
0.795386,1.108476,1.59836,0.576636,8.021365,0,,,,,174.524181,2.A.2,0.802867,1.107434
0.803414,1.107434,1.614418,0.576747,8.101653,0,,,,,176.023754,2.A.3,0.810895,1.105641
0.811443,1.105641,1.630477,0.576906,8.181942,0,,,,,177.523265,2.A.4,0.818924,1.104561
0.819472,1.104561,1.646535,0.576989,8.26223,0,,,,,179.02264,2.A.5,0.826953,1.104497
0.8275,1.104497,1.662593,0.577065,8.342519,0,,,,,180.522136,2.A.6,0.834981,1.104792
0.835529,1.104792,1.678652,0.57714,8.422807,0,,,,,182.029994,2.A.7,0.84301,1.104661
0.843558,1.104661,1.69471,0.5772,8.503096,0,,,,,183.529476,2.A.8,0.851039,1.103837
0.851586,1.103837,1.710769,0.577267,8.583385,0,,,,,185.028942,2.A.9,0.859067,1.104219
0.859615,1.104219,1.726827,0.577328,8.663672,0,,,,,186.528392,2.A.10,0.867096,1.104819
0.867644,1.104819,1.742886,0.57741,8.743961,0,,,,,188.027858,2.A.11,0.875125,1.105204
0.875672,1.105204,1.758944,0.577496,8.824249,0,,,,,189.527263,2.A.12,0.883153,1.105478
0.883701,1.105478,1.775002,0.577591,8.904538,0,,,,,191.026638,2.B.1,0.891182,1.105411
0.89173,1.105411,1.791061,0.577699,8.984826,0,,,,,192.525997,2.B.2,0.899211,1.106124
0.899758,1.106124,1.807119,0.577807,9.065115,0,,,,,194.025432,2.B.3,0.907239,1.106213
0.907787,1.106213,1.823178,0.577879,9.145403,0,,,,,195.524715,2.B.4,0.915268,1.105857
0.915816,1.105857,1.839236,0.577967,9.225692,0,,,,,197.03239,2.B.5,0.923297,1.105204
0.923844,1.105204,1.855294,0.578068,9.30598,0,,,,,198.53178,2.B.6,0.931325,1.105711
0.931873,1.105711,1.871353,0.57815,9.386269,0,,,,,200.031063,2.B.7,0.939354,1.105822
0.939902,1.105822,1.887411,0.578216,9.466558,0,,,,,201.53033,2.B.8,0.947383,1.105978
0.94793,1.105978,1.90347,0.578279,9.546845,0,,,,,203.029659,2.B.9,0.955411,1.107069
0.955959,1.107069,1.919528,0.578353,9.627134,0,,,,,204.528911,2.B.10,0.96344,1.107483
0.963988,1.107483,1.935586,0.578439,9.707422,0,,,,,206.028011,2.B.11,0.971469,1.10421
0.972016,1.10421,1.951645,0.578526,9.787711,0,,,,,207.527309,2.B.12,0.979497,1.096646
0.980045,1.096646,1.967703,0.578626,9.867999,0,,,,,209.034786,2.C.1,0.987526,1.095911
0.988074,1.095911,1.983762,0.578738,9.948288,0,,,,,210.533931,2.C.2,0.995555,1.094883
0.996102,1.094883,1.99982,0.578829,10.028576,0,,,,,212.033062,2.C.3,1.003583,1.095521
1.004131,1.095521,2.015878,0.578857,10.108865,0,,,,,213.532115,2.C.4,1.011612,1.096359
1.01216,1.096359,2.031937,0.578908,10.189153,0,,,,,215.031215,2.C.5,1.019641,1.09653
1.020188,1.09653,2.047995,0.578978,10.269442,0,,,,,216.53857,2.C.6,1.027669,1.097425
1.028217,1.097425,2.064054,0.579007,10.34973,0,,,,,218.037609,2.C.7,1.035698,1.09634
1.036246,1.09634,2.080112,0.57907,10.430018,0,,,,,219.536617,2.C.8,1.043727,1.095659
1.044274,1.095659,2.096171,0.57912,10.510307,0,,,,,221.035656,2.C.9,1.051755,1.096018
1.052303,1.096018,2.112229,0.579213,10.590595,0,,,,,222.534679,2.C.10,1.059784,1.097469
1.060332,1.097469,2.128287,0.57927,10.670884,0,,,,,224.042095,2.C.11,1.067813,1.097287
1.06836,1.097287,2.144346,0.57927,10.751172,0,,,,,225.541133,2.C.12,1.075841,1.097012
1.076389,1.097012,2.160404,0.579313,10.831461,0,,,,,227.040157,2.D.1,1.08387,1.096578
1.084418,1.096578,2.176463,0.579392,10.911749,0,,,,,228.539196,2.D.2,1.091899,1.096875
1.092446,1.096875,2.192521,0.579448,10.992038,0,,,,,228.57249,Waste(Frac),1.099927,1.097833
1.100475,1.097833,2.20858,0.579495,11.072326,0,,,,,229.268032,Waste,1.107956,1.097783
1.108504,1.097783,2.224638,0.579524,11.152615,0,,,,,,,1.115985,1.098229
1.116532,1.098229,2.240696,0.579571,11.232903,0,,,,,,,1.124013,1.098898
1.124561,1.098898,2.256755,0.579618,11.313191,0,,,,,,,1.132042,1.098505
1.13259,1.098505,2.272813,0.579683,11.39348,0,,,,,,,1.140071,1.097931
1.140618,1.097931,2.288872,0.579756,11.473768,0,,,,,,,1.148099,1.098629
1.148647,1.098629,2.30493,0.579809,11.554057,0,,,,,,,1.156128,1.098666
1.156676,1.098666,2.320988,0.579837,11.634345,0,,,,,,,1.164157,1.098272
1.164704,1.098272,2.337047,0.579881,11.714634,0,,,,,,,1.172185,1.098449
1.172733,1.098449,2.353105,0.579962,11.794922,0,,,,,,,1.180214,1.097882
1.180762,1.097882,2.369164,0.580031,11.875211,0,,,,,,,1.188243,1.096926
1.18879,1.096926,2.385222,0.580103,11.955499,0,,,,,,,1.196271,1.097176
1.196819,1.097176,2.40128,0.580195,12.035788,0,,,,,,,1.2043,1.09785
1.204848,1.09785,2.417339,0.580291,12.116076,0,,,,,,,1.212329,1.097995
